,Instruct,Cache Miss,Branch Miss,Cache R,Cache W,LL1 Data C,LL1 Instruct Cache,LLC,D TLB,Instruct Cache,Y
636,30380227,1140653,133945,3393496,133945,5700885,1.40737E+14,250534,5700885,60136,0
637,12087527,2449029,404288,4462997,404288,562980,9.43077E+13,90936,562980,11953,0
638,27306916,2996568,297016,4087354,297016,23059687,1.40737E+14,551901,23059687,65539,0
639,27306916,2996568,143344,2536758,143344,936589,0,122150,936549,22601,0
640,25629161,1537318,184017,6672521,184017,804766,1.40736E+14,104867,804677,16788,0
641,10669894,1366281,156721,2102661,156721,2544666,9.46733E+13,179402,2542348,31918,0
642,11044224,2029079,242786,3365218,242786,3832565,1.40736E+14,152886,3834617,36253,0
643,11044224,2029079,494034,5563172,494034,9366886,0,279169,9366886,79495,0
644,15490914,1068987,113595,1443676,113595,4578970,1.40734E+14,97017,4578970,34972,0
645,85888289,1809635,176207,3336223,176207,1643189,9.40441E+13,165200,1643189,27894,0
646,8282584,2024303,220331,3679410,220331,4511895,1.40734E+14,239850,4511895,57436,0
647,8282584,2024303,187486,21175270,187486,3384524,0,141644,3384484,32015,0
648,126977092,1186932,135050,8430811,135050,9660152,1.40729E+14,282795,9660113,68727,0
649,56250982,1199612,113812,2468581,113812,6177721,9.41855E+13,308521,6177721,77006,0
650,240119667,1233496,120046,1373667,120046,4286290,1.40729E+14,215024,4286290,38869,0
651,240119667,1233496,326675,18676161,326675,6049449,0,229041,6049449,60913,0
652,27435909,10075418,5537000,55361224,5537000,3877965,1.40726E+14,167348,3877836,46185,0
653,17143029,8849763,6600427,85325175,6600427,6151360,9.43701E+13,160816,6153006,51198,0
654,81078267,18004098,7698969,146848578,7698969,5361824,1.40726E+14,233766,5361785,46118,0
655,81078267,18004098,9751566,99314723,9751566,2469785,0,136216,2466599,26380,0
656,10978660,1471320,157791,2108087,157791,52771295,1.40734E+14,167450,52771253,133134,0
657,16484926,1607508,197634,1645392,197634,3143121,9.41302E+13,193153,3143121,44976,0
658,30506104,1535793,223920,4293726,223920,20498625,1.40734E+14,509684,20498625,49303,0
659,30506104,1535793,273793,6839779,273793,8500266,0,241412,8500266,72154,0
660,35920286,1905628,201214,2814931,201214,22973844,1.40723E+14,597919,22973844,61554,0
661,11927911,2725221,411298,4868705,411298,4169011,9.47669E+13,145435,4169011,37157,0
662,13671225,1535405,150410,3669194,150410,2103294,1.40723E+14,176034,2103254,32760,0
663,13671225,1535405,196952,4598947,196952,3007887,0,111573,3007887,22797,0
664,9314722,2431755,240552,11449664,240552,4190252,1.40734E+14,171818,4190212,35115,0
665,23025378,1304467,161517,36638704,161517,3091648,9.43458E+13,193416,3091648,34561,0
666,37495305,1387077,154280,25353204,154280,19826166,1.40734E+14,495594,19826166,34061,0
667,37495305,1387077,499343,10354205,499343,9340169,0,243360,9340169,74892,0
668,142633133,2744413,401720,5748056,401720,4382035,1.4073E+14,164144,4382035,47038,0
669,65423793,1785643,200148,5828153,200148,5407088,9.4308E+13,265818,5407088,59673,0
670,182305508,2273011,269423,2230839,269423,4694553,1.4073E+14,101545,4694513,36756,0
671,182305508,2273011,1175720,970625,1175720,1007199,0,115342,1007199,21682,0
672,14973173,1048182,111487,2432212,111487,2524627,1.40721E+14,200220,2524588,34007,0
673,6562866,1032731,117905,2255083,117905,884282,9.41943E+13,125748,884282,18013,0
674,14940733,3855080,404853,23039016,404853,4029535,1.40721E+14,152469,4029535,44162,0
675,14940733,3855080,66394,4759969,66394,8067015,0,202284,8067015,62552,0
676,26533033,988910,119564,20514361,119564,8283619,1.40727E+14,186666,8283619,60499,0
677,28975646,704012,91329,896704,91329,2197553,9.44173E+13,158741,2197553,28871,0
678,99501701,2198700,239929,3903016,239929,2900556,1.40727E+14,187211,2900556,34830,0
679,99501701,2198700,319426,7293564,319426,3764671,0,178097,3764631,42429,0
680,34472375,1642273,163882,2668278,163882,5210459,1.40736E+14,242308,5210459,59507,0
681,22440372,1513995,151903,857063,151903,1906739,9.40777E+13,160888,1906699,27592,0
682,87995155,2277720,268621,6877323,268621,3486877,1.40736E+14,151463,3486877,37800,0
683,87995155,2277720,131551,4372319,131551,21695235,0,454617,21695235,41515,0
684,5127790,1587761,158190,1883090,158190,4025570,1.40726E+14,140878,4025570,36274,0
685,21729001,1637710,166947,5313384,166947,3005029,9.43184E+13,137158,3005206,33650,0
686,30894875,3135600,458488,894464,458488,411242,1.40726E+14,63567,412563,8220,0
687,30894875,3135600,164253,7787632,164253,24982207,0,675099,24982167,88400,0
688,52622717,2399731,293051,4345249,293051,3178285,1.40736E+14,134506,3178285,33853,0
689,12374599,1697088,175472,3053220,175472,1758346,9.44233E+13,119952,1758346,26791,0
690,5021651,1994244,222169,6896033,222169,19994109,1.40736E+14,457187,19994109,37925,0
691,5021651,1994244,388595,4461117,388595,8816593,0,289302,8816555,75098,0
692,28607115,1903147,195397,1701853,195397,817150,1.40735E+14,97072,817109,14936,0
693,7179257,1202754,154349,25531349,154349,7742958,9.40779E+13,202814,7742958,63304,0
694,110662209,825803,83789,1022223,83789,15454035,1.40735E+14,536093,15454035,147916,0
695,110662209,825803,250967,3378038,250967,2939088,0,180709,2939088,34032,0
696,29011715,1130416,110363,2069474,110363,3003955,1.40726E+14,156384,3003955,38954,0
697,89825042,1706490,173223,5795057,173223,3286814,9.45864E+13,184339,3286814,36086,0
698,36831250,2029884,214097,3083913,214097,3692466,1.40726E+14,126705,3692425,34077,0
699,36831250,2029884,200269,25512880,200269,5552597,0,203240,5552597,49118,0
700,2286464,1442365,147424,3693778,147424,1066977,1.40724E+14,116238,1066938,20505,0
701,32672138,1678726,163890,3699575,163890,8273214,9.42245E+13,206159,8273214,69716,0
702,18979527,2033100,223808,4715121,223808,1653667,1.40724E+14,109964,1653667,27302,0
703,18979527,2033100,182878,20156833,182878,5702965,0,231731,5702965,53891,0
704,13115528,3270290,326940,2319320,326940,269073538,1.40728E+14,4079388,269073538,1828777,0
705,2477775,667523,86970,1431638,86970,509595948,9.45629E+13,5896625,509595907,2947116,0
706,39979235,1635810,178939,6147543,178939,828535539,1.40728E+14,6965306,828535539,2363810,0
707,39979235,1635810,434117,5160838,434117,167353287,0,3406362,167353287,1362794,0
708,21427428,2766657,350729,6397897,350729,6980269,1.40736E+14,212919,6980231,66124,0
709,47916524,1262353,165398,1227582,165398,2457909,9.4616E+13,111431,2457909,23918,0
710,15995386,1747343,188178,5244782,188178,26439179,1.40736E+14,596724,26439179,72362,0
711,15995386,1747343,235944,2937353,235944,2054173,0,181292,2054173,30201,0
712,8021436,4004493,584343,8280469,584343,6807610,1.40722E+14,231147,6807610,69217,0
713,49354507,1884047,221268,2763054,221268,5251090,9.39793E+13,195546,5251090,44536,0
714,10398304,1860659,200551,3633522,200551,18739648,1.40722E+14,550939,18739608,38478,0
715,10398304,1860659,101194,3164601,101194,6399307,0,171258,6399307,51108,0
